AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
9247e531-5b00-4833-afe6-49af94548494,0.0,-2091.5699999999997,-2091.5699999999997
d7247b10-3b00-41b3-8c8e-23629b32bc87,0.0,810.8699999999999,810.8699999999999
6006eee3-05ff-42ac-81e4-177ae45399d8,0.0,-7641250.42,-7641250.42
3cb5ac7f-8b31-466c-b0bc-d0e2d21b3743,0.0,-55091.700000000004,-55091.700000000004
bb93fbc7-59e6-4708-bc9a-42225ba4573b,0.0,-1530272.41,-1530272.41
16279,0.0,-1988645.64,-1988645.64
16420,0.0,-264.91000000000054,-264.91000000000054
65a828a4-07fa-4735-bdca-bdad0c2078dc,0.0,-40599.520000000004,-40599.520000000004
75c5de1e-ea8e-4292-bbdd-208619c52bf9,0.0,-106873.32,-106873.32
108b52c2-fee3-44cb-90ff-f505ef1bf644,0.0,-4328.69,-4328.69
21d2ea3f-0445-4481-b26c-448e7cf0d11d,0.0,-65973.18000000001,-65973.18000000001
49f91fce-526b-46fa-9ac0-8c80b6eae3c7,0.0,-17507.100000000002,-17507.100000000002
eb07b8ca-bee1-4707-b322-efcc73630dcd,0.0,-1704860.2,-1704860.2
16429,0.0,-1552.7000000000007,-1552.7000000000007
1186c2fd-7a00-4f21-956f-8c5a896d9111,0.0,-50610.56,-50610.56
4190cd47-6c10-434a-99b3-51ed9499ff1c,0.0,-47768.47,-47768.47
8da19592-9715-4cb6-b3a3-f27e33c8647d,0.0,-10803.070000000002,-10803.070000000002
89ab357a-4bbf-477a-aaee-60c3aa659168,0.0,-343880.19,-343880.19
9c2d46b2-a6b5-4fe8-9226-30ad8d04cb6f,0.0,-2623130.83,-2623130.83
16274,0.0,-3621291.86,-3621291.86
e2eb8368-3fa8-4667-838a-d83c649e72c1,0.0,-8844578.78,-8844578.78
6453a46f-be8b-4a6e-8dc1-c42a7510d7a9,0.0,-12805.390000000001,-12805.390000000001
1582d967-579c-4406-ab13-7a687fd083fd,0.0,863.4099999999994,863.4099999999994
38caa1ac-63ac-440c-87d0-d3de9bcf1011,0.0,-38439.8,-38439.8
9201d207-6a15-4aa6-b240-4c622f360bd3,0.0,-39802.81,-39802.81
4c46711f-30aa-4555-ba57-af80a2054e4d,0.0,-34534.549999999996,-34534.549999999996
4ec4e547-c84a-4999-ba63-ec7577371215,0.0,9003.58,9003.58
f083de1d-fd0a-4022-adda-0a5daa130b8f,0.0,-43036.78,-43036.78
cfc7ea15-4060-4dc2-8c25-bb4197678c01,0.0,-6113.5199999999995,-6113.5199999999995
88032ec8-8c67-474d-94a0-bc9856be9643,0.0,-357838.31,-357838.31
d1503667-7dc3-43c6-a861-3ad0897876b7,0.0,-39972.46,-39972.46
7f510f19-1764-4e5d-98e1-f04dc7323eea,0.0,-4995.639999999999,-4995.639999999999
b2ac4b52-13e3-4382-9469-f8865a5dc3eb,0.0,-16173.410000000002,-16173.410000000002
07102f17-392f-4e99-af61-ffdb6c3bbc77,0.0,-17505.010000000002,-17505.010000000002
721240cf-0513-4f8c-a299-10e0c6d96238,0.0,-1016751.18,-1016751.18
bd16c197-ed33-4a63-8de2-f64a4c880378,0.0,-10509.91,-10509.91
4ee24ad0-965d-4bb6-9df6-4861c5464718,0.0,-2927775.81,-2927775.81
c9f19b41-8752-401e-b054-12f9d14cdeb7,0.0,-347750.63,-347750.63
e10c28bb-83ee-414a-a7ae-1fd06d86c9c4,0.0,-14944.06,-14944.06
a31e8c7f-c7e8-4ead-87ad-7171318a975f,0.0,-10384.56,-10384.56
06f6989e-54cb-4f40-bfda-c2da14a5ec3b,0.0,-39674.68,-39674.68
5a1930fd-1996-4d0a-9ed9-0d19ba207782,0.0,-61808.55,-61808.55
5f1e89f2-6761-4af2-9f2d-01f13294fcb0,0.0,-64284.97,-64284.97
6b948c7f-c7f1-4c4a-b17d-df514cdd979b,0.0,-22323.480000000003,-22323.480000000003
80b894e5-5330-4dd4-9e3a-276c4883ab62,0.0,-28384.53,-28384.53
16416,0.0,-3648.79,-3648.79
87f69993-f2ee-4df2-98a0-a6617780edd7,0.0,-7747.34,-7747.34
717de7e9-007b-4dda-b194-bd8d7ea9f480,0.0,-20914.75,-20914.75
935507b6-f5da-47f7-8b15-cae3323e8ee9,0.0,-27096.480000000003,-27096.480000000003
82a91940-8baf-41c4-841c-035d30e5fa95,0.0,-61937.12,-61937.12
2a912134-30d4-4caf-b8de-a6a1fce01641,0.0,-665539.0499999999,-665539.0499999999
ec5f06dc-4601-48f7-9f98-5e1cab7fef30,0.0,-25258.13,-25258.13
47ff8a75-3519-446d-8628-092ab79b640f,0.0,5537.28,5537.28
b10f16c6-637a-4054-83e2-6f488dd448de,0.0,-13121.460000000003,-13121.460000000003
330a6c85-d0a4-4d46-8b82-3cb27561986c,0.0,-34253.08,-34253.08
c4886893-3a39-417d-acc8-80810fca1e7e,0.0,-22365.03,-22365.03
ee46e566-e3e5-4088-898e-b84aae6c1591,0.0,-39413.899999999994,-39413.899999999994
d66dfd63-29ec-43d2-a5d9-f47b65e8f145,0.0,-60990.78999999999,-60990.78999999999
b6bef65b-3d18-4208-80cb-1007e06248d7,0.0,-2172.9700000000003,-2172.9700000000003
2971bf3e-670d-4e90-b127-921b7dae0f24,0.0,-85616.17,-85616.17
e10a56ec-bc75-4080-97e1-fb2ccde82216,0.0,-2801073.51,-2801073.51
